tweet_id,class,tweet_body,split
0,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,train
4,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,train
6,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",train
55,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",test
56,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",train
58,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",train
59,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",train
63,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",validation
70,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",train
85,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",train
90,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",train
92,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",train
111,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",validation
116,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",train
119,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",validation
121,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",validation
123,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",test
125,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",train
128,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",train
134,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",test
135,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",train
138,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",test
153,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",validation
154,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",train
157,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",test
166,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",test
169,1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",train
173,1,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",train
176,1,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",test
182,2,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",train
183,2,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",train
186,0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",train
192,2,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",test
195,1,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",train
198,2,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",train
199,1,"""@MvckFadden: ""Stay beautiful you bitch""""",train
201,1,"""@NastyCopper: Money getting taller and bitches getting blurry""",test
204,0,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",validation
206,0,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",train
208,1,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",validation
211,1,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",train
220,1,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro.",train
235,1,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real",train
237,1,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;",test
240,1,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",train
258,1,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",train
263,0,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",test
272,2,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man",validation
277,2,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""",train
287,2,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",train
293,1,"""@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",train
295,1,"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week",train
298,1,"""@__Sugga: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;",train
305,1,"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""",train
311,1,"""@alexissixela__: &#8220;@white_thunduh: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh",train
317,0,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",train
318,2,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",validation
320,0,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",train
334,2,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta",train
336,2,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby",test
341,2,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl""",validation
343,1,"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God",test
344,1,"""@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",train
346,2,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P""",validation
347,1,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon",train
350,1,"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu",train
353,1,"""@jasmyncyniquee: @white_thunduh k bye hoe"" um bye ..",validation
354,0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",train
356,2,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven",train
357,0,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",train
369,2,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",train
375,2,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?",test
377,2,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography",validation
385,2,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!",train
386,1,"""@roLLYuP23: No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol",train
387,1,"""@ronald_iongi: Ummmmmm okay http://t.co/4BVLsci5K5"" you got hoes from left to right &#128514;&#128514; do yah thang!",train
389,2,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it",validation
402,2,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof",test
420,2,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395",train
430,2,"""Bae"" sounds like such a ghetto word. Use something else",train
434,2,"""Brownies for my brownie"" I love this movie. &#128517;",train
440,1,"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes""",train
443,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",train
444,1,"""Don't you ever give my pussy away. You keep it tight, alright?""",train
455,2,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T",train
461,1,"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?""",train
466,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",train
474,2,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!",train
486,1,"""I had a bitch that had a bitch, had the bitch eating halibut.."" - @iamyoungroc #FreshRhymes #JerkSquad #SlowStir",train
491,1,"""I know that shit eatin grin! You either just fucked the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?""&#128514;",validation
493,1,"""I prolly leave up out this bitch with my cups in my hand and yo hand in my other hand.""",train
494,1,"""I said i don't like it, it tastes like wolf pussy"" 
""what? How do you even know what that tastes like""",validation
500,1,"""I would rather you call me bitch than sir"" -my manager",test
507,1,"""I'm gonna piss on your dimple @SoNi99a_: Stop wasting prayers on trash teams lol""",train
509,1,"""I'm sick of his shit man @JonnieSantana: Sit his bitch ass, I'm fed up bro RT ""@80sbaby4life: Geno threw yet another pick smh""""",train
524,2,"""Just follow the yellow brick twitter.""",train
525,1,"""LMFAOOOOOOOOOOOOOOOOOO @bb_brooks: If your pussy is good but my mama don&#8217;t like you? Guess who gotta go&#8230;&#8230;&#8230;..my mama.""",test
528,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",test
535,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",train
540,0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",train
546,2,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;",test
549,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",validation
570,2,"""The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted""",test
571,2,"""The water isn't yellow, I'm a healthy student""",validation
572,1,"""These hoes ain't loyal""",train
573,1,"""These hoes keep callin but I ain't pickin up""&#127926;&#127926;",train
574,0,"""These sour apple bitter bitches, I'm not fuckin wit em""",train
575,1,"""They Faggots @JonnieSantana: Orioles petty as fuck...got swept up outta this bitch""",train
577,2,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch""",train
578,1,"""This is for all the fans that waited, the bitch niggas that hated / Old hoes we dated, look mama, we&#8230; http://t.co/sNRY6A7VYB",train
580,2,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26",train
584,2,"""Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr""
- Robert Frost Giant",train
587,1,"""Used to have a girlfriend, now all I got is hoes.. I was lookin for a good girl, but she was fuckin on the low.""",train
591,0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally",test
592,0,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",test
597,0,"""Who the fuck you callin jiggaboo, nigga?!""",validation
598,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",train
599,1,"""Why u being such a little bitch chris you ain't six bitch"" - Allisons Mom",train
601,1,"""Why would you wanna be the Green Ranger? He's evil!"" Duh bitch",train
605,1,"""Wow you are a bitch"" 
 Yes that's already been established, anything else you have to say?",train
607,2,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians).....",validation
608,2,"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;""",test
613,0,"""You ain't gunna do shit spear chucker""",train
622,1,"""You look cute today :)"".. ""Really?!"" Helll no, swerve hoe!",validation
624,0,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",train
631,2,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other.""",test
632,1,"""Yup. Fuck em @Aloha_Hoesss: Playing like trash RT @80sbaby4life Clippers don't wanna play lol""",train
635,0,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",train
639,1,"""but pussy is the root of all drama an attribute put up in they head by they mama.""",train
640,1,"""call me Keyshawn Johnson cause im catchin erry hoe""",validation
642,1,"""day of judgement everybody gonna be looking at the big jumbotron watching me fuck this majjinn buu bitch""",test
643,1,"""don't let your side bitch settle in, I might have to headbutt you Evelyn""",train
645,0,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",train
647,1,"""hoes suck my dick cus i look like john stockton hit em wit the choppa, luke i am your fatherrr"" - @LILBTHEBASEDGOD",train
656,0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",train
657,0,"""poor whitey"" http://t.co/3UkKeyznz8",train
668,1,#11 get to hit any bitch on campus he wants to,train
673,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",train
678,2,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?,test
679,1,"#BOB Bass over bitches @HankJohnson11 bitches on his dick, fishes on the dock",train
683,1,#BestSongToHaveSexTo bitches love sosa #bangbang,train
686,2,"#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?",train
687,2,#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.,train
688,2,#BlessJesus The #Crown of HIS head to the sole of HIS feet,train
689,2,#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?,train
690,2,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong,train
693,0,#California is full of white trash,validation
694,0,#California is full of white trash who moved from #Oklahoma,train
700,0,#DTLA is trash because of non-Europeans are allowed to live there.,validation
702,1,#DearFeministMen there are easier way to get pussy w/out sacrificing your man hood...best of all they dont include losing ur self respect!,train
709,2,"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous",test
710,0,#Dutch farmers are white trash.,test
711,0,#Dutch people who live outside of #NewYorkCity are all white trash.,test
