tweet_id,class,tweet_body,split
0,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,train
4,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya  &#57361; ,train
7,1,!!!! &#8220; @selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!! &#8221; ,train
29,1,  i spend my money how i want bitch its my business  ,train
63,2, @Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF  woof woof hot scally lad,train
70,2, @ArizonasFinest6: Why the eggplant emoji doe? y he say she looked like scream lmao,validation
85,0, @Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer  gaywad,train
90,0, @CB_Baby24: @white_thunduh alsarabsss  hes a beaner smh you can tell hes a mexican,train
92,1, @CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1  this bitch need to go!!!,test
105,1," @ComedyTruth: amen miley  &#128591;  http://t.co/P2Kb2tfyxr okay, but she don't need to act like a hoe just bc she's  emotionally damaged  foh",train
111,0," @DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe  Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",train
116,2, @DomWorldPeace: Baseball season for the win. #Yankees  This is where the love started,train
119,2," @DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms. ",train
121,2," @El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh &#8221; 

They *are* fairy tale creatures.",train
123,2," @FloKid88: As long as the Lakers trash from now on, I could careless. And that's real. . CC: @BENBALLER hahaha",train
125,2," @FunnyPicsDepot: this the  I play soccer, cheat on girls, and wear khaki coloured cargos  haircut http://t.co/ZUai7qWBIR   &#128514;  yup",train
128,1, @GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving  lmmfao  &#128514;  &#128514;  &#128514;  &#128514; ,train
132,1, @GirlThatsVonte: Yall still going trick or treating this year or nah? hell yeah ima be da sweet tooth bandit steal bitches bags n shit,validation
134,1, @Gizzy_Jones94: If she kiss u with her eyes open watch that bitch! lmfao,validation
138,1, @HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses &#128514;  &#128514;  ,test
150,1, @JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x  lmao damn captain SaveAHoe,train
153,1, @JasminePore: If you dressed up as a cat for Halloween you are basic.  ...or a pussy,validation
154,1, @Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo  @Pornhub get on it Katie &lt; 3,train
157,1," @KazAtta: @1TAKEHOV Oh man..  its 5 am, you off a molly, ho where the fuck ya seed at??   #fixed",test
166,2, @KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!  This is still the early bird special. #ComeAtMeUT,train
173,1, @LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo.  ...sounding like me over there lol,test
182,2, @MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks  @dliming35 #bum,test
183,2," @M_Rad:  &#8220; @DezDLT:  I play soccer, cheat on girls, and wear khaki coloured cargos  haircut http://t.co/tYCIhD6PkW &#8221;  yes lmfao @soccerboy_04",train
186,0, @MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR  This is why there's black people and niggers,train
192,2, @Mesha_nojas: @_Vontethekidd  &#128079;  &#128079;  &#128079;  &#128079;  &#128588;   I got hicks lol,train
198,2," @MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm  #Climate",train
201,1, @NastyCopper: Money getting taller and bitches getting blurry ,train
204,0," @NoChillPaz:  At least I'm not a nigger  http://t.co/RGJa7CfoiT 

Lmfao",train
206,0, @NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward  but at least he isn't a cripple like your hero Roach lmaoo,train
208,1," @OfficialReplay: I am lowkey tired.  ...if you tired, be quiet and go to sleep hoe!",train
214,1," @Poetic_Success: I hate when strippers tell you they're  dancers . Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER! ",test
220,1," @Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree. 
@Iemonaids dis bitch in da wrong tree bro.",validation
235,1, @SheWentToJordan: Can't worry about a bitch that ain't worried bout me  #real,test
240,1, @SmeegBaby: Dese hoes be LYIN to all of us nigga ,train
241,1, @SnakecharmsDump: http://t.co/4b427dQZCV  oh yeah fuck that bitch,train
261,1," @The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket i work 2-5",train
263,0, @TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc  Halloween was yesterday stupid nigger,train
272,2, @UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0 ned stark was the man,train
276,1," @VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iy 

LMFAO KITTYCOPTER",test
277,2, @WBUR: A smuggler explains how he helped fighters along the  Jihadi Highway : http://t.co/UX4anxeAwd ,train
287,2," @Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th.  #RALLYCAP",train
290,1, @YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks.  wait till friday,train
293,1, @_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back  Strong Mush or Shake..,test
294,1, @_BeeDontCare My pussy still fresh   &lt; ----- something stank girls say.,train
295,1, @_GeeWillikers_: Ass slapping is one the greatest things. Haha.  &#128527;   I slapped a girl on the ass. . She got mad I aint get pussy for a week,train
298,1, @__Sugga: There's a lane some bitches need to stay in  &#128526;   the left n get right the fuck outta our face  &#128557;  &#128129;  &#128536; ,train
299,1, @__sneakyb: I hate when boys deny that they have bitches  &#128080;  &#128553;   smh,train
305,1, @_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story.  &#128564;  ,train
311,1, @alexissixela__:  &#8220; @white_thunduh: I legit watched it for about 30 or 40 seconds  &#128529;  &#8221; SO DID I WTF  prob cause were retarded smh,test
317,0," @ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?  Sometimes",train
318,2, @ayyee_ceee_: One mans trash  &#128686;  is another mans treasure  &#127942;  ,train
320,0," @bigbootybishopp: @white_thunduh lassen cc , the coach wants me  i feel it youll get more my nig no doubt",validation
334,2," @g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals  @peta",train
336,2, @greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm  i am such a crybaby,validation
338,1, @haitian__goLd: Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh.   &#128514;  &#128514;  &#128514;  &#128514; ,test
341,2, @hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl ,train
346,2, @iTrapWatermelon: tweety bird tho  &#128514;  &#128514;  &#128514;  &#128514; https://t.co/JbnoNM3N1P ,train
350,1, @jacaxeltlu: Eventually every bitch turns into that hoe.  # Truuu,train
353,1, @jasmyncyniquee: @white_thunduh k bye hoe  um bye ..,validation
354,0, @jayswaggkillah: Jackies a retard #blondeproblems  At least I can make a grilled cheese!,validation
356,2, @jethromass: Photo: http://t.co/CxRs5BVhPw  he is in sole heaven,validation
357,0, @jgabsss: Stacey Dash won  &#128166;  http://t.co/PDLG46rjOL  baddest bitch evaaaa,train
361,2," @kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT 
 &#128123; spook",test
369,2," @metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all.  Lmao",test
373,1," @molssyo: One of us is on drugs, and its me but you're still wrong  &#128514;  @currieburry  hahahahahahah im a bitch sometimes (:",train
375,2, @nohands_24:  @20ToLife_:  @nohands_24:  @DejaaLeeann_: @B_Coleman2 swears I'm #1 man  easily  easily  behind Austin  nip?,test
377,2, @oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT  #History #Photography,train
385,2, @riananewman: @22EdHam brownies tonight  what kind?!?!,train
387,1, @ronald_iongi: Ummmmmm okay http://t.co/4BVLsci5K5  you got hoes from left to right  &#128514;  &#128514;  do yah thang!,test
402,2, @soxdawg: RAWR!! RT @skinrubberboi:  My  sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz  sexy scally woof woof,train
420,2, @worldtraveIs: Baby albino  &#128034;  http://t.co/2tYTQJ3fec  @Meeeesh1395,test
430,2, Bae  sounds like such a ghetto word. Use something else,test
434,2, Brownies for my brownie  I love this movie.  &#128517; ,train
437,1, Caesar is home  RT @Naewoodster:  &#8220; @MjaySkillz: https://t.co/mw5KAojKXB theres so much this bitch looks like. Lets start with ape shit &#8221;  &#128557;  &#128557;  ,train
439,1," Dad say hi to my snapchat  
Dad   &#9996;  &#65039;  &#9996;  &#65039;  duces bitch   &#128514;  &#128514;  &#128553;  &#128553; ",train
440,1," Do you believe these hoes are not in fact loyal?   I disagree with that, I do believe they are in fact the loyalest bunch,these hoes ",train
443,0," Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch. ",train
455,2, Generate ASCII boxes with NodeJS  all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T,train
461,1, Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick? ,validation
466,0, Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger  - #shitmybosssays,validation
467,1, Hey pussy you still there? ,validation
474,2, I am a thrill billy..with a hillbilly heart.  -@billyraycyrus. HAHAHAHAHA Jesus Murphy!,train
482,1, I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her ,train
489,1," I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually.  -Katt Williams @LetMicahDown",test
493,1, I prolly leave up out this bitch with my cups in my hand and yo hand in my other hand. ,validation
513,1," If you love her then hide yo bitch so you'll keep shorty. 
@wizkhalifa",train
521,1, It's never too late to tag a bitch. - @CyFyre,test
524,2, Just follow the yellow brick twitter. ,train
528,0, Let's kill cracker babies! . WTF did I just hear???????? WOW.,train
531,1, Lmao @SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded ,test
535,0, My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife   &#128563; ,test
540,0, Nah its You @NoMeek_JustMilz:  &#128514;  &#128514;  &#128514;  &#128514;  yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall  http://t.co/5e2fkQ3Q2T,train
541,1, New Flame  the song of the yr lol that bitch SUPER run like,train
542,1," Niggas always yelling  Fuck bitches, Get money  meanwhile they're broke and still want the bitches &#8230; . ",train
546,2, OVO   &#8220; @Allthingsfresh3: &amp; kendrick lamar still trash &#8221; ,train
549,0, Our people . Now is the time for the Aryan race 2 stand up and say  no more . Before the mongerls turn the world into a ghetto slum. 1488,validation
554,1, SORRY JB FAN &#65292; REALLY JUSTIN COME BACK . That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!,train
570,2," The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted ",train
574,0," These sour apple bitter bitches, I'm not fuckin wit em ",train
575,1, They Faggots @JonnieSantana: Orioles petty as fuck...got swept up outta this bitch ,train
577,2, They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch ,validation
580,2, This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet. -@EricaNadine26,validation
584,2," Two roads diverged in a yellow wood, and I chose the one to J &#246; tunheimr 
- Robert Frost Giant",train
589,1, WHAAAAAAT! LMAOOO!!! @Cromotoasted: @creepgoddess that's why I luv u fat bitches cuz y'all got some big ole titties and phat booties ,test
591,0," We hate niggers, we hate faggots and we hate spics -kkk rally",validation
592,0," We're out here, and we're queer! 
  2, 4, 6, hut! We like it in our butt! ",test
594,1," Well bitch, biology said...   &#128514;  &#128514;  &#128514; ",validation
597,0," Who the fuck you callin jiggaboo, nigga?! ",train
598,0, Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an,train
599,1, Why u being such a little bitch chris you ain't six bitch  - Allisons Mom,test
605,1," Wow you are a bitch  
 Yes that's already been established, anything else you have to say?",validation
608,2, Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies!  &#128154;  &#128155;  &#128536;  ,train
613,0, You ain't gunna do shit spear chucker ,train
622,1," You look cute today :) ..  Really?!  Helll no, swerve hoe!",train
624,0," You ol trout mouth ass bitch  
DEEEEAAAADD",train
631,2, Your teeth are like the stars.   Aww thanks!   Yeah... yellow and far away from each other. ,test
632,1, Yup. Fuck em @Aloha_Hoesss: Playing like trash RT @80sbaby4life Clippers don't wanna play lol ,validation
635,0, ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes ,train
637,1, bitch my vagina is a little more resilient than that  -@rosestokoe,train
639,1, but pussy is the root of all drama an attribute put up in they head by they mama. ,train
642,1, day of judgement everybody gonna be looking at the big jumbotron watching me fuck this majjinn buu bitch ,train
643,1," don't let your side bitch settle in, I might have to headbutt you Evelyn ",validation
645,0," fuck you you pussy ass hater go suck a dick and die quick  - Someone, to me, in Youtube comments. I think we'd be good friends.",train
647,1," hoes suck my dick cus i look like john stockton hit em wit the choppa, luke i am your fatherrr  - @LILBTHEBASEDGOD",train
656,0, on my way to fuck your bitch in the name of The Lord  - Mr. Race,validation
657,0, poor whitey  http://t.co/3UkKeyznz8,train
668,1,#11 get to hit any bitch on campus he wants to,validation
670,2,#2013Faves RT  &#8220; @grahamorama: #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards https://t.co/C6NHwUBlXN &#8221; ,train
673,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",train
677,1,#AsAGiraffes pussy http://t.co/YaaTsF52tu,test
678,2,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?,train
679,1,"#BOB Bass over bitches @HankJohnson11 bitches on his dick, fishes on the dock",train
686,2,"#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?",validation
687,2,#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.,test
688,2,#BlessJesus The #Crown of HIS head to the sole of HIS feet,train
689,2,#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?,train
690,2,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong,test
693,0,#California is full of white trash,validation
694,0,#California is full of white trash who moved from #Oklahoma,train
700,0,#DTLA is trash because of non-Europeans are allowed to live there.,train
702,1,#DearFeministMen there are easier way to get pussy w/out sacrificing your man hood...best of all they dont include losing ur self respect!,train
709,2,"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous",train
710,0,#Dutch farmers are white trash.,train
711,0,#Dutch people who live outside of #NewYorkCity are all white trash.,validation
712,2,#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City http://t.co/kuVq8UpwUw,train
714,2,#Ebola is a great metaphor for how #GOP #teaparty policies eat off of vital organs until the host dies. #Tcot #teabaggers,train
715,2,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth,validation
718,2,"#FemaleLogic is worse than the jig, I'm convinced",train
719,2,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees,train
723,2,"#Glory Isaiah Mom asked me if I wanted a brownie I said, no thanks 
She said what are fasting,",validation
724,2,#HOLIDAYSEASONLIVE @ShyGlizzy @plies Shy Glizzy Feat Plies - FREE THA GANG: http://t.co/pYGOSk0qCP,test
